Key	Type	Desc	English	Swedish
Error/SessionBlockedBy	Text	Used to denote a session which cannot be entered due to the presence of a player who has blocked the user.	You cannot join this session because it contains a user who has blocked you.	TODO
Error/SessionContainsBlockedUser	Text	Used to denote a session which cannot be entered due to the presence of a player which has been blocked by the user.	You cannot join this session because it contains a user you have blocked.	TODO
Error/SessionJoinBanned	Text		You cannot join this session because you have been banned by a session admin.	TODO
Error/Timeout	Text		Connection timed out	TODO
Error/Unknown	Text		Unknown error	TODO
Error/UserConnected	Text		{0} connected.	TODO
Error/UserDisconnected	Text		{0} disconnected.	TODO
Error/WorldVersionTooHigh	Text		This world was created using a more recent game version. Please check for game updates.	TODO
Error/reqFailNotificationGPU	Text		Warning: Your GPU does not meet the minimum requirements. Game visuals might not work correctly	TODO
FollowTwitter	Text		Follow us on Twitter	TODO
FoodAdjectives/AmberLarva	Text		Meaty	TODO
FoodAdjectives/AmberLarvaFemale	Text		Meaty	TODO
FoodAdjectives/AmberLarvaMale	Text		Meaty	TODO
FoodAdjectives/AngleFish	Text		Encased	TODO
FoodAdjectives/AngleFishFemale	Text		Encased	TODO
FoodAdjectives/AngleFishMale	Text		Encased	TODO
FoodAdjectives/AstralJelly	Text		Astral	TODO
FoodAdjectives/AstralJellyFemale	Text		Astral	TODO
FoodAdjectives/AstralJellyMale	Text		Astral	TODO
FoodAdjectives/AtlantianWormHeart	Text		Atlantean	TODO
FoodAdjectives/AtlantianWormHeartFemale	Text		Atlantean	TODO
FoodAdjectives/AtlantianWormHeartMale	Text		Atlantean	TODO
FoodAdjectives/AzureFeatherFish	Text		Azure	TODO
FoodAdjectives/AzureFeatherFishFemale	Text		Azure	TODO
FoodAdjectives/AzureFeatherFishMale	Text		Azure	TODO
FoodAdjectives/BlackSteelUrchin	Text		Black	TODO
FoodAdjectives/BlackSteelUrchinFemale	Text		Black	TODO
FoodAdjectives/BlackSteelUrchinMale	Text		Black	TODO
FoodAdjectives/BloatOat	Text		Filling	TODO
FoodAdjectives/BloatOatFemale	Text		Filling	TODO
FoodAdjectives/BloatOatMale	Text		Filling	TODO
FoodAdjectives/BloatOatRare	Text		Stodgy	TODO
FoodAdjectives/BloatOatRareFemale	Text		Stodgy	TODO
FoodAdjectives/BloatOatRareMale	Text		Stodgy	TODO
FoodAdjectives/BlueCaveGuppy	Text		Blue	TODO
FoodAdjectives/BlueCaveGuppyFemale	Text		Blue	TODO
FoodAdjectives/BlueCaveGuppyMale	Text		Blue	TODO
FoodAdjectives/BombPepper	Text		Spicy	TODO
FoodAdjectives/BombPepperFemale	Text		Spicy	TODO
FoodAdjectives/BombPepperMale	Text		Spicy	TODO
FoodAdjectives/BombPepperRare	Text		Piquant	TODO
FoodAdjectives/BombPepperRareFemale	Text		Piquant	TODO
FoodAdjectives/BombPepperRareMale	Text		Piquant	TODO
FoodAdjectives/BottomTracer	Text		Bright Yellow	TODO
FoodAdjectives/BottomTracerFemale	Text		Bright Yellow	TODO
FoodAdjectives/BottomTracerMale	Text		Bright Yellow	TODO
FoodAdjectives/BrightLavaEater	Text		Bright	TODO
FoodAdjectives/BrightLavaEaterFemale	Text		Bright	TODO
FoodAdjectives/BrightLavaEaterMale	Text		Bright	TODO
FoodAdjectives/BrownDuneTail	Text		Brown	TODO
FoodAdjectives/BrownDuneTailFemale	Text		Brown	TODO
FoodAdjectives/BrownDuneTailMale	Text		Brown	TODO
FoodAdjectives/Carrock	Text		Crunchy	TODO
FoodAdjectives/CarrockFemale	Text		Crunchy	TODO
FoodAdjectives/CarrockMale	Text		Crunchy	TODO
FoodAdjectives/CarrockRare	Text		Hard	TODO
FoodAdjectives/CarrockRareFemale	Text		Hard	TODO
FoodAdjectives/CarrockRareMale	Text		Hard	TODO
FoodAdjectives/CosmicForm	Text		Cosmic	TODO
FoodAdjectives/CosmicFormFemale	Text		Cosmic	TODO
FoodAdjectives/CosmicFormMale	Text		Cosmic	TODO
FoodAdjectives/CrownSquid	Text		Crowned	TODO
FoodAdjectives/CrownSquidFemale	Text		Crowned	TODO
FoodAdjectives/CrownSquidMale	Text		Crowned	TODO
FoodAdjectives/DaggerFin	Text		Sharp	TODO
FoodAdjectives/DaggerFinFemale	Text		Sharp	TODO
FoodAdjectives/DaggerFinMale	Text		Sharp	TODO
FoodAdjectives/DarkLavaEater	Text		Dark	TODO
FoodAdjectives/DarkLavaEaterFemale	Text		Dark	TODO
FoodAdjectives/DarkLavaEaterMale	Text		Dark	TODO
FoodAdjectives/Deepstalker	Text		Glistening	TODO
FoodAdjectives/DeepstalkerFemale	Text		Glistening	TODO
FoodAdjectives/DeepstalkerMale	Text		Glistening	TODO
FoodAdjectives/DevilWorm	Text		Devilish	TODO
FoodAdjectives/DevilWormFemale	Text		Devilish	TODO
FoodAdjectives/DevilWormMale	Text		Devilish	TODO
FoodAdjectives/Egg	Text		Yummy	TODO
FoodAdjectives/EggFemale	Text		Yummy	TODO
FoodAdjectives/EggMale	Text		Yummy	TODO
FoodAdjectives/ElderDragonfish	Text		Elder	TODO
FoodAdjectives/ElderDragonfishFemale	Text		Elder	TODO
FoodAdjectives/ElderDragonfishMale	Text		Elder	TODO
FoodAdjectives/EmeraldFeatherFish	Text		Emerald	TODO
FoodAdjectives/EmeraldFeatherFishFemale	Text		Emerald	TODO
FoodAdjectives/EmeraldFeatherFishMale	Text		Emerald	TODO
FoodAdjectives/GemCrab	Text		Glimmering	TODO
FoodAdjectives/GemCrabFemale	Text		Glimmering	TODO
FoodAdjectives/GemCrabMale	Text		Glimmering	TODO
FoodAdjectives/GiantMushroom	Text		Giant	TODO
FoodAdjectives/GiantMushroomFemale	Text		Giant	TODO
FoodAdjectives/GiantMushroomMale	Text		Giant	TODO
FoodAdjectives/GlowingTulipFlower	Text		Glowing	TODO
FoodAdjectives/GlowingTulipFlowerFemale	Text		Glowing	TODO
FoodAdjectives/GlowingTulipFlowerMale	Text		Glowing	TODO
FoodAdjectives/GlowingTulipFlowerRare	Text		Shining	TODO
FoodAdjectives/GlowingTulipFlowerRareFemale	Text		Shining	TODO
FoodAdjectives/GlowingTulipFlowerRareMale	Text		Shining	TODO
FoodAdjectives/GoldenAngleFish	Text		Crystallized	TODO
FoodAdjectives/GoldenAngleFishFemale	Text		Crystallized	TODO
FoodAdjectives/GoldenAngleFishMale	Text		Crystallized	TODO
FoodAdjectives/GoldenDeepstalker	Text		Splendid	TODO
FoodAdjectives/GoldenDeepstalkerFemale	Text		Splendid	TODO
FoodAdjectives/GoldenDeepstalkerMale	Text		Splendid	TODO
FoodAdjectives/GoldenLarvaMeat	Text		Shiny	TODO
FoodAdjectives/GoldenLarvaMeatFemale	Text		Shiny	TODO
FoodAdjectives/GoldenLarvaMeatMale	Text		Shiny	TODO
FoodAdjectives/GoldenTorrentDart	Text		Golden	TODO
FoodAdjectives/GoldenTorrentDartFemale	Text		Golden	TODO
FoodAdjectives/GoldenTorrentDartMale	Text		Golden	TODO
FoodAdjectives/GreenBlisterHead	Text		Green	TODO
FoodAdjectives/GreenBlisterHeadFemale	Text		Green	TODO
FoodAdjectives/GreenBlisterHeadMale	Text		Green	TODO
FoodAdjectives/GreenhornPico	Text		Sticky	TODO
FoodAdjectives/GreyDuneTail	Text		Grey	TODO
FoodAdjectives/GreyDuneTailFemale	Text		Grey	TODO
FoodAdjectives/GreyDuneTailMale	Text		Grey	TODO
FoodAdjectives/Grumpkin	Text		Lumpy	TODO
FoodAdjectives/GrumpkinFemale	Text		Lumpy	TODO
FoodAdjectives/GrumpkinMale	Text		Lumpy	TODO
FoodAdjectives/GrumpkinRare	Text		Gleaming	TODO
FoodAdjectives/GrumpkinRareFemale	Text		Gleaming	TODO
FoodAdjectives/GrumpkinRareMale	Text		Gleaming	TODO
FoodAdjectives/HeartBerry	Text		Hearty	TODO
FoodAdjectives/HeartBerryFemale	Text		Hearty	TODO
FoodAdjectives/HeartBerryMale	Text		Hearty	TODO
FoodAdjectives/HeartBerryRare	Text		Delightful	TODO
FoodAdjectives/HeartBerryRareFemale	Text		Delightful	TODO
FoodAdjectives/HeartBerryRareMale	Text		Delightful	TODO
FoodAdjectives/LarvaMeat	Text		Gooey	TODO
FoodAdjectives/LarvaMeatFemale	Text		Gooey	TODO
FoodAdjectives/LarvaMeatMale	Text		Gooey	TODO
FoodAdjectives/LithoTrilobite	Text		Brittle	TODO
FoodAdjectives/Lunacorn	Text		Iridescent	TODO
FoodAdjectives/LunacornFemale	Text		Iridescent	TODO
FoodAdjectives/LunacornMale	Text		Iridescent	TODO
FoodAdjectives/LunacornRare	Text		Brilliant	TODO
FoodAdjectives/LunacornRareFemale	Text		Brilliant	TODO
FoodAdjectives/LunacornRareMale	Text		Brilliant	TODO
FoodAdjectives/Meat	Text		Tender	TODO
FoodAdjectives/MeatFemale	Text		Tender	TODO
FoodAdjectives/MeatMale	Text		Tender	TODO
FoodAdjectives/MoldShark	Text		Moldy	TODO
FoodAdjectives/MoldSharkFemale	Text		Moldy	TODO
FoodAdjectives/MoldSharkMale	Text		Moldy	TODO
FoodAdjectives/Mushroom	Text		Mushy	TODO
FoodAdjectives/MushroomFemale	Text		Mushy	TODO
FoodAdjectives/MushroomMale	Text		Mushy	TODO
FoodAdjectives/OrangeCaveGuppy	Text		Orange	TODO
FoodAdjectives/OrangeCaveGuppyFemale	Text		Orange	TODO
FoodAdjectives/OrangeCaveGuppyMale	Text		Orange	TODO
FoodAdjectives/Pewpaya	Text		Juicy	TODO
FoodAdjectives/PewpayaFemale	Text		Juicy	TODO
FoodAdjectives/PewpayaMale	Text		Juicy	TODO
FoodAdjectives/PewpayaRare	Text		Luscious	TODO
FoodAdjectives/PewpayaRareFemale	Text		Luscious	TODO
FoodAdjectives/PewpayaRareMale	Text		Luscious	TODO
FoodAdjectives/Pinegrapple	Text		Sweet	TODO
FoodAdjectives/PinegrappleFemale	Text		Sweet	TODO
FoodAdjectives/PinegrappleMale	Text		Sweet	TODO
FoodAdjectives/PinegrappleRare	Text		Succulent	TODO
FoodAdjectives/PinegrappleRareFemale	Text		Succulent	TODO
FoodAdjectives/PinegrappleRareMale	Text		Succulent	TODO
FoodAdjectives/PinkCoralotl	Text		Coral Red	TODO
FoodAdjectives/PinkCoralotlFemale	Text		Coral Red	TODO
FoodAdjectives/PinkCoralotlMale	Text		Coral Red	TODO
FoodAdjectives/PinkPalaceFish	Text		Pink	TODO
FoodAdjectives/PinkPalaceFishFemale	Text		Pink	TODO
FoodAdjectives/PinkPalaceFishMale	Text		Pink	TODO
FoodAdjectives/PinkhornPico	Text		Goopy	TODO
FoodAdjectives/Puffungi	Text		Puffy	TODO
FoodAdjectives/PuffungiFemale	Text		Puffy	TODO
FoodAdjectives/PuffungiMale	Text		Puffy	TODO
FoodAdjectives/PuffungiRare	Text		Musty	TODO
FoodAdjectives/PuffungiRareFemale	Text		Musty	TODO
FoodAdjectives/PuffungiRareMale	Text		Musty	TODO
FoodAdjectives/RiftianLampfish	Text		Abyssal	TODO
FoodAdjectives/RockJaw	Text		Rocky	TODO
FoodAdjectives/RockJawFemale	Text		Rocky	TODO
FoodAdjectives/RockJawMale	Text		Rocky	TODO
FoodAdjectives/RotFish	Text		Rotten	TODO
FoodAdjectives/RotFishFemale	Text		Rotten	TODO
FoodAdjectives/RotFishMale	Text		Rotten	TODO
FoodAdjectives/SandySpikeback	Text		Sandy	TODO
FoodAdjectives/SandySpikebackFemale	Text		Sandy	TODO
FoodAdjectives/SandySpikebackMale	Text		Sandy	TODO
FoodAdjectives/SilverTorrentDart	Text		Silver	TODO
FoodAdjectives/SilverTorrentDartFemale	Text		Silver	TODO
FoodAdjectives/SilverTorrentDartMale	Text		Silver	TODO
FoodAdjectives/SolidSpikeback	Text		Solid	TODO
FoodAdjectives/SolidSpikebackFemale	Text		Solid	TODO
FoodAdjectives/SolidSpikebackMale	Text		Solid	TODO
FoodAdjectives/SpiritVeil	Text		Spiritual	TODO
FoodAdjectives/SpiritVeilFemale	Text		Spiritual	TODO
FoodAdjectives/SpiritVeilMale	Text		Spiritual	TODO
FoodAdjectives/StarlightNautilus	Text		Sparkling	TODO
FoodAdjectives/StarlightNautilusFemale	Text		Sparkling	TODO
FoodAdjectives/StarlightNautilusMale	Text		Sparkling	TODO
FoodAdjectives/Sunrice	Text		Radiant	TODO
FoodAdjectives/SunriceFemale	Text		Radiant	TODO
FoodAdjectives/SunriceMale	Text		Radiant	TODO
FoodAdjectives/SunriceRare	Text		Dazzling	TODO
FoodAdjectives/SunriceRareFemale	Text		Dazzling	TODO
FoodAdjectives/SunriceRareMale	Text		Dazzling	TODO
FoodAdjectives/TealPalaceFish	Text		Teal	TODO
FoodAdjectives/TealPalaceFishFemale	Text		Teal	TODO
FoodAdjectives/TealPalaceFishMale	Text		Teal	TODO
FoodAdjectives/TerraTrilobite	Text		Porous	TODO
FoodAdjectives/TornisKingfish	Text		Royal	TODO
FoodAdjectives/TornisKingfishFemale	Text		Royal	TODO
FoodAdjectives/TornisKingfishMale	Text		Royal	TODO
FoodAdjectives/VampireEel	Text		Vampiristic	TODO
FoodAdjectives/VampireEelFemale	Text		Vampiristic	TODO
FoodAdjectives/VampireEelMale	Text		Vampiristic	TODO
FoodAdjectives/VerdantDragonfish	Text		Verdant	TODO
FoodAdjectives/VerdantDragonfishFemale	Text		Verdant	TODO
FoodAdjectives/VerdantDragonfishMale	Text		Verdant	TODO
FoodAdjectives/WhiteCoralotl	Text		White	TODO
FoodAdjectives/WhiteCoralotlFemale	Text		White	TODO
FoodAdjectives/WhiteCoralotlMale	Text		White	TODO
FoodAdjectives/YellowBlisterHead	Text		Yellow	TODO
FoodAdjectives/YellowBlisterHeadFemale	Text		Yellow	TODO
FoodAdjectives/YellowBlisterHeadMale	Text		Yellow	TODO
FoodNouns/AmberLarva	Text		Amber	TODO
FoodNouns/AngleFish	Text		Crystal	TODO
FoodNouns/AstralJelly	Text		Jelly	TODO
FoodNouns/AtlantianWormHeart	Text		Giant	TODO
FoodNouns/AzureFeatherFish	Text		Feather	TODO
FoodNouns/BlackSteelUrchin	Text		Urchin	TODO
FoodNouns/BloatOat	Text		Oat	TODO
FoodNouns/BloatOatRare	Text		Goldoat	TODO
FoodNouns/BlueCaveGuppy	Text		Guppy	TODO
FoodNouns/BombPepper	Text		Pepper	TODO
FoodNouns/BombPepperRare	Text		Goldpepper	TODO
FoodNouns/BottomTracer	Text		Barbel	TODO
FoodNouns/BrightLavaEater	Text		Lava	TODO
FoodNouns/BrownDuneTail	Text		Dune	TODO
FoodNouns/Carrock	Text		Stone	TODO
FoodNouns/CarrockRare	Text		Goldstone	TODO
FoodNouns/CosmicForm	Text		Cosmos	TODO
FoodNouns/CrownSquid	Text		Squid	TODO
FoodNouns/DaggerFin	Text		Fin	TODO
FoodNouns/DarkLavaEater	Text		Lava	TODO
FoodNouns/Deepstalker	Text		Hunter	TODO
FoodNouns/DevilWorm	Text		Worm	TODO
FoodNouns/Egg	Text		Cream	TODO
FoodNouns/ElderDragonfish	Text		Dragon	TODO
FoodNouns/EmeraldFeatherFish	Text		Feather	TODO
FoodNouns/GemCrab	Text		Crab	TODO
FoodNouns/GiantMushroom	Text		Mushroom	TODO
FoodNouns/GlowingTulipFlower	Text		Tulip	TODO
FoodNouns/GlowingTulipFlowerRare	Text		Goldtulip	TODO
FoodNouns/GoldenAngleFish	Text		Crystal	TODO
FoodNouns/GoldenDeepstalker	Text		Hunter	TODO
FoodNouns/GoldenLarvaMeat	Text		Gold	TODO
FoodNouns/GoldenTorrentDart	Text		Dart	TODO
FoodNouns/GreenBlisterHead	Text		Blister	TODO
FoodNouns/GreenhornPico	Text		Goop	TODO
FoodNouns/GreyDuneTail	Text		Dune	TODO
FoodNouns/Grumpkin	Text		Lump	TODO
FoodNouns/GrumpkinRare	Text		Goldlump	TODO
FoodNouns/HeartBerry	Text		Berry	TODO
FoodNouns/HeartBerryRare	Text		Goldberry	TODO
FoodNouns/LarvaMeat	Text		Meat	TODO
FoodNouns/LithoTrilobite	Text		Fossil	TODO
FoodNouns/Lunacorn	Text		Moon	TODO
FoodNouns/LunacornRare	Text		Goldmoon	TODO
FoodNouns/Meat	Text		Meat	TODO
FoodNouns/MoldShark	Text		Shark	TODO
FoodNouns/Mushroom	Text		Mushroom	TODO
FoodNouns/OrangeCaveGuppy	Text		Guppy	TODO
FoodNouns/Pewpaya	Text		Fruit	TODO
FoodNouns/PewpayaRare	Text		Goldfruit	TODO
FoodNouns/Pinegrapple	Text		Tropics	TODO
FoodNouns/PinegrappleRare	Text		Goldtropics	TODO
FoodNouns/PinkCoralotl	Text		Coral	TODO
FoodNouns/PinkPalaceFish	Text		Palace	TODO
FoodNouns/PinkhornPico	Text		Goop	TODO
FoodNouns/Puffungi	Text		Mold	TODO
FoodNouns/PuffungiRare	Text		Goldmold	TODO
FoodNouns/RiftianLampfish	Text		Rift	TODO
FoodNouns/RockJaw	Text		Jaw	TODO
FoodNouns/RotFish	Text		Decay	TODO
FoodNouns/SandySpikeback	Text		Spike	TODO
FoodNouns/SilverTorrentDart	Text		Dart	TODO
FoodNouns/SolidSpikeback	Text		Spike	TODO
FoodNouns/SpiritVeil	Text		Veil	TODO
FoodNouns/StarlightNautilus	Text		Starlight	TODO
FoodNouns/Sunrice	Text		Sun	TODO
FoodNouns/SunriceRare	Text		Goldsun	TODO
FoodNouns/TealPalaceFish	Text		Palace	TODO
FoodNouns/TerraTrilobite	Text		Fossil	TODO
FoodNouns/TornisKingfish	Text		King	TODO
FoodNouns/VampireEel	Text		Eel	TODO
FoodNouns/VerdantDragonfish	Text		Dragon	TODO
FoodNouns/WhiteCoralotl	Text		Coral	TODO
FoodNouns/YellowBlisterHead	Text		Blister	TODO
FoodTypes/Fish	Text		Fish	TODO
FoodTypes/Meat	Text		Other	TODO
FoodTypes/Plant	Text		Plant	TODO
HardMode	Text		Hard	TODO
HardModeDesc	Text		Tackle tougher monsters and reap greater rewards.	TODO
HelmVanitySlot	Text		Helm vanity slot	TODO
Intro/Slide1	Text		In a place far away from anywhere else.	TODO
Intro/Slide2	Text		You are part of a group of explorers, making your way through the forest.	TODO
Intro/Slide3	Text		Feeling a strange presence,* you notice something between the trees.	TODO
Intro/Slide4	Text		Drawn to it,* you approach this strange relic and raise a hand towards it.	TODO
Intro/Slide5	Text		Upon touching its surface, a blinding light engulfs you.	TODO
ItemCategory/Building	Text		Building	TODO
ItemCategory/Building_BaseBuilding	Text		Base building	TODO
ItemCategory/Building_Chest	Text		Chest	TODO
ItemCategory/Building_FunctionalBuilding	Text		Functional building	TODO
ItemCategory/Building_MerchantItem	Text		Merchant item	TODO
ItemCategory/Building_Object	Text		Object	TODO
ItemCategory/Consumable	Text		Consumable	TODO
ItemCategory/Consumable_Fish	Text		Fish	TODO
ItemCategory/Consumable_Food	Text		Snacks	TODO
ItemCategory/Consumable_Ingredient	Text		Ingredient	TODO
ItemCategory/Consumable_PetCandy	Text		Pet candy	TODO
ItemCategory/Consumable_Potion	Text		Potion	TODO
ItemCategory/Creature	Text		Creature	TODO
ItemCategory/Creature_Cattle	Text		Cattle	TODO
ItemCategory/Creature_Critter	Text		Critter	TODO
ItemCategory/Creature_Enemy	Text		Enemy	TODO
ItemCategory/Creature_Merchant	Text		Merchant	TODO
ItemCategory/Creature_Pet	Text		Pet	TODO
ItemCategory/Environment	Text		Environment	TODO
ItemCategory/Environment_Block	Text	As in a piece of block used for building a wall or ground	Block	TODO
ItemCategory/Environment_CityBiome	Text		City biome	TODO
ItemCategory/Environment_ClayBiome	Text		Clay biome	TODO
ItemCategory/Environment_CrystalBiome	Text		Crystal biome	TODO
ItemCategory/Environment_DesertBiome	Text		Desert biome	TODO
ItemCategory/Environment_DirtBiome	Text		Dirt biome	TODO
ItemCategory/Environment_Ground	Text		Ground	TODO
ItemCategory/Environment_LavaBiome	Text		Lava biome	TODO
ItemCategory/Environment_MeadowBiome	Text		Meadow biome	TODO
ItemCategory/Environment_MoldBiome	Text		Mold biome	TODO
ItemCategory/Environment_NatureBiome	Text		Nature biome	TODO
ItemCategory/Environment_OreBoulder	Text		Ore boulder	TODO
ItemCategory/Environment_PassageBiome	Text		Passage biome	TODO
ItemCategory/Environment_PitObject	Text		Pit object	TODO
ItemCategory/Environment_SeaBiome	Text		Sea biome	TODO
ItemCategory/Environment_SlimeBiome	Text		Slime biome	TODO
ItemCategory/Environment_StoneBiome	Text		Stone biome	TODO
ItemCategory/Environment_Wall	Text		Wall	TODO
ItemCategory/Equipment	Text		Equipment	TODO
ItemCategory/Equipment_Bag	Text		Bag	TODO
ItemCategory/Equipment_Bait	Text		Bait	TODO
ItemCategory/Equipment_BreastArmor	Text		Breast armor	TODO
ItemCategory/Equipment_Helm	Text		Helm	TODO
ItemCategory/Equipment_MagicWeapon	Text		Magic weapon	TODO
ItemCategory/Equipment_MeleeWeapon	Text		Melee weapon	TODO
ItemCategory/Equipment_Necklace	Text		Necklace	TODO
ItemCategory/Equipment_Offhand	Text		Offhand	TODO
ItemCategory/Equipment_PaintBrush	Text		Paint brush	TODO
ItemCategory/Equipment_PantsArmor	Text		Pants armor	TODO
ItemCategory/Equipment_RangeWeapon	Text		Range weapon	TODO
ItemCategory/Equipment_Ring	Text		Ring	TODO
ItemCategory/Equipment_Tool	Text		Tool	TODO
ItemCategory/Material	Text		Material	TODO
ItemCategory/Material_RawMaterial	Text		Raw material	TODO
ItemCategory/Material_RefinedMaterial	Text		Refined material	TODO
ItemCategory/Material_UniqueMaterial	Text		Unique material	TODO
ItemCategory/Music	Text		Music	TODO
ItemCategory/Music_Instrument	Text		Instrument	TODO
ItemCategory/Music_MusicSheet	Text		Music sheet	TODO
ItemCategory/Other	Text		Other	TODO
ItemCategory/Other_Currency	Text		Currency	TODO
ItemCategory/Other_KeyItem	Text		Key item	TODO
ItemCategory/Other_Mods	Text	This category contains objects from mods	Mods	TODO
ItemCategory/Other_OracleCard	Text		Oracle card	TODO
ItemCategory/Other_Recipe	Text		Recipe	TODO
ItemCategory/Other_Seed	Text		Seed	TODO
ItemCategory/Seasonal	Text		Seasonal	TODO
ItemCategory/Seasonal_Anniversary	Text		Anniversary	TODO
ItemCategory/Seasonal_CherryBlossom	Text		Cherry blossom	TODO
ItemCategory/Seasonal_Christmas	Text		Christmas	TODO
ItemCategory/Seasonal_Easter	Text		Easter	TODO
ItemCategory/Seasonal_Halloween	Text		Halloween	TODO
ItemCategory/Seasonal_Lunar	Text		Lunar New Year	TODO
ItemCategory/Seasonal_Valentine	Text		Valentine	TODO
ItemCategory/Technology	Text		Technology	TODO
ItemCategory/Technology_Automation	Text		Automation	TODO
ItemCategory/Technology_Boat	Text		Boat	TODO
ItemCategory/Technology_DefensiveBuilding	Text		Defensive building	TODO
ItemCategory/Technology_Electronics	Text		Electronics	TODO
ItemCategory/Technology_Explosives	Text		Explosives	TODO
ItemCategory/Technology_Railway	Text		Railway	TODO
ItemCategory/Technology_Utility	Text		Utility	TODO
ItemCategory/Technology_Vehicle	Text		Vehicle	TODO
ItemCategory/Valuable	Text		Valuable	TODO
ItemCategory/Valuable_CityBiome	Text		City biome	TODO
ItemCategory/Valuable_ClayBiome	Text		Clay biome	TODO
ItemCategory/Valuable_CrystalBiome	Text		Crystal biome	TODO
ItemCategory/Valuable_DesertBiome	Text		Desert biome	TODO
ItemCategory/Valuable_DirtBiome	Text		Dirt biome	TODO
ItemCategory/Valuable_LavaBiome	Text		Lava biome	TODO
ItemCategory/Valuable_MoldBiome	Text		Mold biome	TODO
ItemCategory/Valuable_NatureBiome	Text		Nature biome	TODO
ItemCategory/Valuable_Other	Text		Other	TODO
ItemCategory/Valuable_SeaBiome	Text		Sea biome	TODO
ItemCategory/Valuable_StoneBiome	Text		Stone biome	TODO
ItemCategory/Valuable_Trophy	Text		Figurine	TODO
ItemLevel	Text		Item level {0}	TODO
Items/AbandonedCampMatress	Text		Camp Matress	TODO
Items/AbandonedCampMatressDesc	Text		The resting place of a former adventurer?	TODO
Items/AbandonedCampTent	Text		Camp Tent	TODO
Items/AbandonedCampTentDesc	Text		An abandoned makeshift tent, who would have lived here?	TODO
Items/AbyssTree	Text		Abyss Tree	TODO
Items/AbyssTreeDesc	Text		A tree that grows in the chasms of Azeos Wilderness. It is unknown how far down it reaches.	TODO
Items/AcidLarva	Text		Acid Larva	TODO
Items/AcidLarvaTrophy	Text		Acid Larva Figurine	TODO
Items/AcidLarvaTrophyDesc	Text		A lifelike representation of an Acid Larva.	TODO
Items/AdderStone	Text		Adder Stone	TODO
Items/AdderStoneDesc	Text		A porous smooth stone, some believe it wards off evil spirits.	TODO
Items/AdvancedJewelryWorkBench	Text		Proficient Jewelry Workbench	TODO
Items/AdvancedJewelryWorkBenchDesc	Text		An advanced workbench for creating rings and necklaces.	TODO
Items/AgarthaReport	Text		Agartha Report	TODO
Items/AgarthaReportDesc	Text		A leatherbound book written in unsteady human language. It appears that the author believed to have found the mythological center of the earth, before succumbing to illness.	TODO
Items/AggressiveSlimeBlob	Text		Red Slime	TODO
Items/AlchemyTable	Text		Alchemist's Table	TODO
Items/AlchemyTableDesc	Text		Workbench to tinker with the wonders of chemistry.	TODO
Items/AlienChest	Text		Alien Tech Chest	TODO
Items/AlienChestDesc	Text		A technological marvel: an inventory chest from outer space! Seems like even advanced civilizations need to stash things away.	TODO
Items/AlienFloorVent	Text		Alien Floor Vent	TODO
Items/AlienFloorVentDesc	Text		A piece of tech that would still be functional, had it not been ripped out of the floor by greedy hands.	TODO
Items/AlienObeliskSmall	Text		Small Alien Obelisk	TODO
Items/AlienObeliskSmallDesc	Text		A descriptive stele, carved into mysterious stone. Its meaning is beyond earthly understanding.	TODO
Items/AlienObeliskTall	Text		Tall Alien Obelisk	TODO
Items/AlienObeliskTallDesc	Text		A large descriptive stele, carved into mysterious stone. Its meaning is beyond earthly understanding.	TODO
Items/AlienStalagmite	Text		High Tech Pillar	TODO
Items/AlienStalagmiteDesc	Text		It looks like a pillar but its actual function is unknown. Is it a cooling mechanism or does it perhaps store energy?	TODO
Items/AlienTechBreastArmor	Text		Cosmos Torso	TODO
Items/AlienTechBreastArmorDesc	Text		This airtight jacket keeps the atmosphere around your body evenly pressured and is equipped with a system to increase damage efficiency.	TODO
Items/AlienTechCrystalLight	Text		Alien Crystal Light	TODO
Items/AlienTechCrystalLightDesc	Text		A highly advanced light using a giant ancient gemstone. It almost appears like an oversized torch made for something with even larger hands.	TODO
Items/AlienTechDestructible	Text		Alien Tech Crate	TODO
Items/AlienTechDestructibleDesc	Text		A breakable box that is not from this world. It contains extraterrestrial goods.	TODO
Items/AlienTechHelm	Text		Cosmos Visor Helm	TODO
Items/AlienTechHelmDesc	Text		A futuristic helm sealed under a big glass dome, leaving the view open to marvel at the miracles of space.	TODO
Items/AlienTechPantsArmor	Text		Cosmos Legwear	TODO
Items/AlienTechPantsArmorDesc	Text		Heavy pants that are less suited for quick movements and more for safely treading on foreign planets.	TODO
Items/AlienTechSpire	Text		Dysfunctional Coil	TODO
Items/AlienTechSpireDesc	Text		A piece of alien technology that seems to have burned out.	TODO
Items/AmberChunk	Text		Amber Chunk	TODO
Items/AmberChunkDesc	Text		Solid remains of an ancient forest. The light it reflects is warm and golden.	TODO
Items/AmberFishEgg	Text		Amber Fish Egg	TODO
Items/AmberFishEggDesc	Text		A perfectly preserved fish egg encapsulated in amber. How those two combined is a mystery.	TODO
Items/AmberLarva	Text		Amber Larva	TODO
Items/AmberLarvaDesc	Text		Grub encapsulated in amber, an extremely rare ingredient.	TODO
Items/Ammonite	Text		Ammonite	TODO
Items/AmmoniteDesc	Text		The petrified shell of an ancient sea creature.	TODO
Items/AmmoniteNecklace	Text		Ammonite Necklace	TODO
Items/AmmoniteNecklaceDesc	Text		Simple but beautiful necklace featuring a fossil.	TODO
