Key	Type	Desc	English	Swedish
FoodAdjectives/BloatOat	Text		Filling	
FoodAdjectives/BloatOatFemale	Text		Filling	
FoodAdjectives/BloatOatMale	Text		Filling	
FoodAdjectives/BloatOatRare	Text		Stodgy	
FoodAdjectives/BloatOatRareFemale	Text		Stodgy	
FoodAdjectives/BloatOatRareMale	Text		Stodgy	
FoodAdjectives/BlueCaveGuppy	Text		Blue	
FoodAdjectives/BlueCaveGuppyFemale	Text		Blue	
FoodAdjectives/BlueCaveGuppyMale	Text		Blue	
FoodAdjectives/BombPepper	Text		Spicy	
FoodAdjectives/BombPepperFemale	Text		Spicy	
FoodAdjectives/BombPepperMale	Text		Spicy	
FoodAdjectives/BombPepperRare	Text		Piquant	
FoodAdjectives/BombPepperRareFemale	Text		Piquant	
FoodAdjectives/BombPepperRareMale	Text		Piquant	
FoodAdjectives/BottomTracer	Text		Bright Yellow	
FoodAdjectives/BottomTracerFemale	Text		Bright Yellow	
FoodAdjectives/BottomTracerMale	Text		Bright Yellow	
FoodAdjectives/BrightLavaEater	Text		Bright	
FoodAdjectives/BrightLavaEaterFemale	Text		Bright	
FoodAdjectives/BrightLavaEaterMale	Text		Bright	
FoodAdjectives/BrownDuneTail	Text		Brown	
FoodAdjectives/BrownDuneTailFemale	Text		Brown	
FoodAdjectives/BrownDuneTailMale	Text		Brown	
FoodAdjectives/Carrock	Text		Crunchy	
FoodAdjectives/CarrockFemale	Text		Crunchy	
FoodAdjectives/CarrockMale	Text		Crunchy	
FoodAdjectives/CarrockRare	Text		Hard	
FoodAdjectives/CarrockRareFemale	Text		Hard	
FoodAdjectives/CarrockRareMale	Text		Hard	
FoodAdjectives/CosmicForm	Text		Cosmic	
FoodAdjectives/CosmicFormFemale	Text		Cosmic	
FoodAdjectives/CosmicFormMale	Text		Cosmic	
FoodAdjectives/CrownSquid	Text		Crowned	
FoodAdjectives/CrownSquidFemale	Text		Crowned	
FoodAdjectives/CrownSquidMale	Text		Crowned	
FoodAdjectives/DaggerFin	Text		Sharp	
FoodAdjectives/DaggerFinFemale	Text		Sharp	
FoodAdjectives/DaggerFinMale	Text		Sharp	
FoodAdjectives/DarkLavaEater	Text		Dark	
FoodAdjectives/DarkLavaEaterFemale	Text		Dark	
FoodAdjectives/DarkLavaEaterMale	Text		Dark	
FoodAdjectives/Deepstalker	Text		Glistening	
FoodAdjectives/DeepstalkerFemale	Text		Glistening	
FoodAdjectives/DeepstalkerMale	Text		Glistening	
FoodAdjectives/DevilWorm	Text		Devilish	
FoodAdjectives/DevilWormFemale	Text		Devilish	
FoodAdjectives/DevilWormMale	Text		Devilish	
FoodAdjectives/Egg	Text		Yummy	
FoodAdjectives/EggFemale	Text		Yummy	
FoodAdjectives/EggMale	Text		Yummy	
FoodAdjectives/ElderDragonfish	Text		Elder	
FoodAdjectives/ElderDragonfishFemale	Text		Elder	
FoodAdjectives/ElderDragonfishMale	Text		Elder	
FoodAdjectives/EmeraldFeatherFish	Text		Emerald	
FoodAdjectives/EmeraldFeatherFishFemale	Text		Emerald	
FoodAdjectives/EmeraldFeatherFishMale	Text		Emerald	
FoodAdjectives/GemCrab	Text		Glimmering	
FoodAdjectives/GemCrabFemale	Text		Glimmering	
FoodAdjectives/GemCrabMale	Text		Glimmering	
FoodAdjectives/GiantMushroom	Text		Giant	
FoodAdjectives/GiantMushroomFemale	Text		Giant	
FoodAdjectives/GiantMushroomMale	Text		Giant	
FoodAdjectives/GlowingTulipFlower	Text		Glowing	
FoodAdjectives/GlowingTulipFlowerFemale	Text		Glowing	
FoodAdjectives/GlowingTulipFlowerMale	Text		Glowing	
FoodAdjectives/GlowingTulipFlowerRare	Text		Shining	
FoodAdjectives/GlowingTulipFlowerRareFemale	Text		Shining	
FoodAdjectives/GlowingTulipFlowerRareMale	Text		Shining	
FoodAdjectives/GoldenAngleFish	Text		Crystallized	
FoodAdjectives/GoldenAngleFishFemale	Text		Crystallized	
FoodAdjectives/GoldenAngleFishMale	Text		Crystallized	
FoodAdjectives/GoldenDeepstalker	Text		Splendid	
FoodAdjectives/GoldenDeepstalkerFemale	Text		Splendid	
FoodAdjectives/GoldenDeepstalkerMale	Text		Splendid	
FoodAdjectives/GoldenLarvaMeat	Text		Shiny	
FoodAdjectives/GoldenLarvaMeatFemale	Text		Shiny	
FoodAdjectives/GoldenLarvaMeatMale	Text		Shiny	
FoodAdjectives/GoldenTorrentDart	Text		Golden	
FoodAdjectives/GoldenTorrentDartFemale	Text		Golden	
FoodAdjectives/GoldenTorrentDartMale	Text		Golden	
FoodAdjectives/GreenBlisterHead	Text		Green	
FoodAdjectives/GreenBlisterHeadFemale	Text		Green	
FoodAdjectives/GreenBlisterHeadMale	Text		Green	
FoodAdjectives/GreenhornPico	Text		Sticky	
FoodAdjectives/GreyDuneTail	Text		Grey	
FoodAdjectives/GreyDuneTailFemale	Text		Grey	
FoodAdjectives/GreyDuneTailMale	Text		Grey	
FoodAdjectives/Grumpkin	Text		Lumpy	
FoodAdjectives/GrumpkinFemale	Text		Lumpy	
FoodAdjectives/GrumpkinMale	Text		Lumpy	
FoodAdjectives/GrumpkinRare	Text		Gleaming	
FoodAdjectives/GrumpkinRareFemale	Text		Gleaming	
FoodAdjectives/GrumpkinRareMale	Text		Gleaming	
FoodAdjectives/HeartBerry	Text		Hearty	
FoodAdjectives/HeartBerryFemale	Text		Hearty	
FoodAdjectives/HeartBerryMale	Text		Hearty	
FoodAdjectives/HeartBerryRare	Text		Delightful	
FoodAdjectives/HeartBerryRareFemale	Text		Delightful	
FoodAdjectives/HeartBerryRareMale	Text		Delightful	
FoodAdjectives/LarvaMeat	Text		Gooey	
FoodAdjectives/LarvaMeatFemale	Text		Gooey	
FoodAdjectives/LarvaMeatMale	Text		Gooey	
FoodAdjectives/LithoTrilobite	Text		Brittle	
FoodAdjectives/Lunacorn	Text		Iridescent	
FoodAdjectives/LunacornFemale	Text		Iridescent	
FoodAdjectives/LunacornMale	Text		Iridescent	
FoodAdjectives/LunacornRare	Text		Brilliant	
FoodAdjectives/LunacornRareFemale	Text		Brilliant	
FoodAdjectives/LunacornRareMale	Text		Brilliant	
FoodAdjectives/Meat	Text		Tender	
FoodAdjectives/MeatFemale	Text		Tender	
FoodAdjectives/MeatMale	Text		Tender	
FoodAdjectives/MoldShark	Text		Moldy	
FoodAdjectives/MoldSharkFemale	Text		Moldy	
FoodAdjectives/MoldSharkMale	Text		Moldy	
FoodAdjectives/Mushroom	Text		Mushy	
FoodAdjectives/MushroomFemale	Text		Mushy	
FoodAdjectives/MushroomMale	Text		Mushy	
FoodAdjectives/OrangeCaveGuppy	Text		Orange	
FoodAdjectives/OrangeCaveGuppyFemale	Text		Orange	
FoodAdjectives/OrangeCaveGuppyMale	Text		Orange	
FoodAdjectives/Pewpaya	Text		Juicy	
FoodAdjectives/PewpayaFemale	Text		Juicy	
FoodAdjectives/PewpayaMale	Text		Juicy	
FoodAdjectives/PewpayaRare	Text		Luscious	
FoodAdjectives/PewpayaRareFemale	Text		Luscious	
FoodAdjectives/PewpayaRareMale	Text		Luscious	
FoodAdjectives/Pinegrapple	Text		Sweet	
FoodAdjectives/PinegrappleFemale	Text		Sweet	
FoodAdjectives/PinegrappleMale	Text		Sweet	
FoodAdjectives/PinegrappleRare	Text		Succulent	
FoodAdjectives/PinegrappleRareFemale	Text		Succulent	
FoodAdjectives/PinegrappleRareMale	Text		Succulent	
FoodAdjectives/PinkCoralotl	Text		Coral Red	
FoodAdjectives/PinkCoralotlFemale	Text		Coral Red	
FoodAdjectives/PinkCoralotlMale	Text		Coral Red	
FoodAdjectives/PinkPalaceFish	Text		Pink	
FoodAdjectives/PinkPalaceFishFemale	Text		Pink	
FoodAdjectives/PinkPalaceFishMale	Text		Pink	
FoodAdjectives/PinkhornPico	Text		Goopy	
FoodAdjectives/Puffungi	Text		Puffy	
FoodAdjectives/PuffungiFemale	Text		Puffy	
FoodAdjectives/PuffungiMale	Text		Puffy	
FoodAdjectives/PuffungiRare	Text		Musty	
FoodAdjectives/PuffungiRareFemale	Text		Musty	
FoodAdjectives/PuffungiRareMale	Text		Musty	
FoodAdjectives/RiftianLampfish	Text		Abyssal	
FoodAdjectives/RockJaw	Text		Rocky	
FoodAdjectives/RockJawFemale	Text		Rocky	
FoodAdjectives/RockJawMale	Text		Rocky	
FoodAdjectives/RotFish	Text		Rotten	
FoodAdjectives/RotFishFemale	Text		Rotten	
FoodAdjectives/RotFishMale	Text		Rotten	
FoodAdjectives/SandySpikeback	Text		Sandy	
FoodAdjectives/SandySpikebackFemale	Text		Sandy	
FoodAdjectives/SandySpikebackMale	Text		Sandy	
FoodAdjectives/SilverTorrentDart	Text		Silver	
FoodAdjectives/SilverTorrentDartFemale	Text		Silver	
FoodAdjectives/SilverTorrentDartMale	Text		Silver	
FoodAdjectives/SolidSpikeback	Text		Solid	
FoodAdjectives/SolidSpikebackFemale	Text		Solid	
FoodAdjectives/SolidSpikebackMale	Text		Solid	
FoodAdjectives/SpiritVeil	Text		Spiritual	
FoodAdjectives/SpiritVeilFemale	Text		Spiritual	
FoodAdjectives/SpiritVeilMale	Text		Spiritual	
FoodAdjectives/StarlightNautilus	Text		Sparkling	
FoodAdjectives/StarlightNautilusFemale	Text		Sparkling	
FoodAdjectives/StarlightNautilusMale	Text		Sparkling	
FoodAdjectives/Sunrice	Text		Radiant	
FoodAdjectives/SunriceFemale	Text		Radiant	
FoodAdjectives/SunriceMale	Text		Radiant	
FoodAdjectives/SunriceRare	Text		Dazzling	
FoodAdjectives/SunriceRareFemale	Text		Dazzling	
FoodAdjectives/SunriceRareMale	Text		Dazzling	
FoodAdjectives/TealPalaceFish	Text		Teal	
FoodAdjectives/TealPalaceFishFemale	Text		Teal	
FoodAdjectives/TealPalaceFishMale	Text		Teal	
FoodAdjectives/TerraTrilobite	Text		Porous	
FoodAdjectives/TornisKingfish	Text		Royal	
FoodAdjectives/TornisKingfishFemale	Text		Royal	
FoodAdjectives/TornisKingfishMale	Text		Royal	
FoodAdjectives/VampireEel	Text		Vampiristic	
FoodAdjectives/VampireEelFemale	Text		Vampiristic	
FoodAdjectives/VampireEelMale	Text		Vampiristic	
FoodAdjectives/VerdantDragonfish	Text		Verdant	
FoodAdjectives/VerdantDragonfishFemale	Text		Verdant	
FoodAdjectives/VerdantDragonfishMale	Text		Verdant	
FoodAdjectives/WhiteCoralotl	Text		White	
FoodAdjectives/WhiteCoralotlFemale	Text		White	
FoodAdjectives/WhiteCoralotlMale	Text		White	
FoodAdjectives/YellowBlisterHead	Text		Yellow	
FoodAdjectives/YellowBlisterHeadFemale	Text		Yellow	
FoodAdjectives/YellowBlisterHeadMale	Text		Yellow	
FoodNouns/AmberLarva	Text		Amber	
FoodNouns/AngleFish	Text		Crystal	
FoodNouns/AstralJelly	Text		Jelly	
FoodNouns/AtlantianWormHeart	Text		Giant	
FoodNouns/AzureFeatherFish	Text		Feather	
FoodNouns/BlackSteelUrchin	Text		Urchin	
FoodNouns/BloatOat	Text		Oat	
FoodNouns/BloatOatRare	Text		Goldoat	
FoodNouns/BlueCaveGuppy	Text		Guppy	
FoodNouns/BombPepper	Text		Pepper	
FoodNouns/BombPepperRare	Text		Goldpepper	
FoodNouns/BottomTracer	Text		Barbel	
FoodNouns/BrightLavaEater	Text		Lava	
FoodNouns/BrownDuneTail	Text		Dune	
FoodNouns/Carrock	Text		Stone	
FoodNouns/CarrockRare	Text		Goldstone	
FoodNouns/CosmicForm	Text		Cosmos	
FoodNouns/CrownSquid	Text		Squid	
FoodNouns/DaggerFin	Text		Fin	
FoodNouns/DarkLavaEater	Text		Lava	
FoodNouns/Deepstalker	Text		Hunter	
FoodNouns/DevilWorm	Text		Worm	
FoodNouns/Egg	Text		Cream	
FoodNouns/ElderDragonfish	Text		Dragon	
FoodNouns/EmeraldFeatherFish	Text		Feather	
FoodNouns/GemCrab	Text		Crab	
FoodNouns/GiantMushroom	Text		Mushroom	
FoodNouns/GlowingTulipFlower	Text		Tulip	
FoodNouns/GlowingTulipFlowerRare	Text		Goldtulip	
FoodNouns/GoldenAngleFish	Text		Crystal	
FoodNouns/GoldenDeepstalker	Text		Hunter	
FoodNouns/GoldenLarvaMeat	Text		Gold	
FoodNouns/GoldenTorrentDart	Text		Dart	
FoodNouns/GreenBlisterHead	Text		Blister	
FoodNouns/GreenhornPico	Text		Goop	
FoodNouns/GreyDuneTail	Text		Dune	
FoodNouns/Grumpkin	Text		Lump	
FoodNouns/GrumpkinRare	Text		Goldlump	
FoodNouns/HeartBerry	Text		Berry	
FoodNouns/HeartBerryRare	Text		Goldberry	
FoodNouns/LarvaMeat	Text		Meat	
FoodNouns/LithoTrilobite	Text		Fossil	
FoodNouns/Lunacorn	Text		Moon	
FoodNouns/LunacornRare	Text		Goldmoon	
FoodNouns/Meat	Text		Meat	
FoodNouns/MoldShark	Text		Shark	
FoodNouns/Mushroom	Text		Mushroom	
FoodNouns/OrangeCaveGuppy	Text		Guppy	
FoodNouns/Pewpaya	Text		Fruit	
FoodNouns/PewpayaRare	Text		Goldfruit	
FoodNouns/Pinegrapple	Text		Tropics	
FoodNouns/PinegrappleRare	Text		Goldtropics	
FoodNouns/PinkCoralotl	Text		Coral	
FoodNouns/PinkPalaceFish	Text		Palace	
FoodNouns/PinkhornPico	Text		Goop	
FoodNouns/Puffungi	Text		Mold	
FoodNouns/PuffungiRare	Text		Goldmold	
FoodNouns/RiftianLampfish	Text		Rift	
FoodNouns/RockJaw	Text		Jaw	
FoodNouns/RotFish	Text		Decay	
FoodNouns/SandySpikeback	Text		Spike	
FoodNouns/SilverTorrentDart	Text		Dart	
FoodNouns/SolidSpikeback	Text		Spike	
FoodNouns/SpiritVeil	Text		Veil	
FoodNouns/StarlightNautilus	Text		Starlight	
FoodNouns/Sunrice	Text		Sun	
FoodNouns/SunriceRare	Text		Goldsun	
FoodNouns/TealPalaceFish	Text		Palace	
FoodNouns/TerraTrilobite	Text		Fossil	
FoodNouns/TornisKingfish	Text		King	
FoodNouns/VampireEel	Text		Eel	
FoodNouns/VerdantDragonfish	Text		Dragon	
FoodNouns/WhiteCoralotl	Text		Coral	
FoodNouns/YellowBlisterHead	Text		Blister	
FoodTypes/Fish	Text		Fish	
FoodTypes/Meat	Text		Other	
FoodTypes/Plant	Text		Plant	
HardMode	Text		Hard	
HardModeDesc	Text		Tackle tougher monsters and reap greater rewards.	
HelmVanitySlot	Text		Helm vanity slot	
Intro/Slide1	Text		In a place far away from anywhere else.	
Intro/Slide2	Text		You are part of a group of explorers, making your way through the forest.	
Intro/Slide3	Text		Feeling a strange presence,* you notice something between the trees.	
Intro/Slide4	Text		Drawn to it,* you approach this strange relic and raise a hand towards it.	
Intro/Slide5	Text		Upon touching its surface, a blinding light engulfs you.	
ItemCategory/Building	Text		Building	
ItemCategory/Building_BaseBuilding	Text		Base building	
ItemCategory/Building_Chest	Text		Chest	
ItemCategory/Building_FunctionalBuilding	Text		Functional building	
ItemCategory/Building_MerchantItem	Text		Merchant item	
ItemCategory/Building_Object	Text		Object	
ItemCategory/Consumable	Text		Consumable	
ItemCategory/Consumable_Fish	Text		Fish	
ItemCategory/Consumable_Food	Text		Snacks	
ItemCategory/Consumable_Ingredient	Text		Ingredient	
ItemCategory/Consumable_PetCandy	Text		Pet candy	
ItemCategory/Consumable_Potion	Text		Potion	
ItemCategory/Creature	Text		Creature	
ItemCategory/Creature_Cattle	Text		Cattle	
ItemCategory/Creature_Critter	Text		Critter	
ItemCategory/Creature_Enemy	Text		Enemy	
ItemCategory/Creature_Merchant	Text		Merchant	
ItemCategory/Creature_Pet	Text		Pet	
ItemCategory/Environment	Text		Environment	
ItemCategory/Environment_Block	Text	As in a piece of block used for building a wall or ground	Block	
ItemCategory/Environment_CityBiome	Text		City biome	
ItemCategory/Environment_ClayBiome	Text		Clay biome	
ItemCategory/Environment_CrystalBiome	Text		Crystal biome	
ItemCategory/Environment_DesertBiome	Text		Desert biome	
ItemCategory/Environment_DirtBiome	Text		Dirt biome	
ItemCategory/Environment_Ground	Text		Ground	
ItemCategory/Environment_LavaBiome	Text		Lava biome	
ItemCategory/Environment_MeadowBiome	Text		Meadow biome	
ItemCategory/Environment_MoldBiome	Text		Mold biome	
ItemCategory/Environment_NatureBiome	Text		Nature biome	
ItemCategory/Environment_OreBoulder	Text		Ore boulder	
ItemCategory/Environment_PassageBiome	Text		Passage biome	
ItemCategory/Environment_PitObject	Text		Pit object	
ItemCategory/Environment_SeaBiome	Text		Sea biome	
ItemCategory/Environment_SlimeBiome	Text		Slime biome	
ItemCategory/Environment_StoneBiome	Text		Stone biome	
ItemCategory/Environment_Wall	Text		Wall	
ItemCategory/Equipment	Text		Equipment	
ItemCategory/Equipment_Bag	Text		Bag	
ItemCategory/Equipment_Bait	Text		Bait	
ItemCategory/Equipment_BreastArmor	Text		Breast armor	
ItemCategory/Equipment_Helm	Text		Helm	
ItemCategory/Equipment_MagicWeapon	Text		Magic weapon	
ItemCategory/Equipment_MeleeWeapon	Text		Melee weapon	
ItemCategory/Equipment_Necklace	Text		Necklace	
ItemCategory/Equipment_Offhand	Text		Offhand	
ItemCategory/Equipment_PaintBrush	Text		Paint brush	
ItemCategory/Equipment_PantsArmor	Text		Pants armor	
ItemCategory/Equipment_RangeWeapon	Text		Range weapon	
ItemCategory/Equipment_Ring	Text		Ring	
ItemCategory/Equipment_Tool	Text		Tool	
ItemCategory/Material	Text		Material	
ItemCategory/Material_RawMaterial	Text		Raw material	
ItemCategory/Material_RefinedMaterial	Text		Refined material	
ItemCategory/Material_UniqueMaterial	Text		Unique material	
ItemCategory/Music	Text		Music	
ItemCategory/Music_Instrument	Text		Instrument	
ItemCategory/Music_MusicSheet	Text		Music sheet	
ItemCategory/Other	Text		Other	
ItemCategory/Other_Currency	Text		Currency	
ItemCategory/Other_KeyItem	Text		Key item	
ItemCategory/Other_Mods	Text	This category contains objects from mods	Mods	
ItemCategory/Other_OracleCard	Text		Oracle card	
ItemCategory/Other_Recipe	Text		Recipe	
ItemCategory/Other_Seed	Text		Seed	
ItemCategory/Seasonal	Text		Seasonal	
ItemCategory/Seasonal_Anniversary	Text		Anniversary	
ItemCategory/Seasonal_CherryBlossom	Text		Cherry blossom	
ItemCategory/Seasonal_Christmas	Text		Christmas	
ItemCategory/Seasonal_Easter	Text		Easter	
ItemCategory/Seasonal_Halloween	Text		Halloween	
ItemCategory/Seasonal_Lunar	Text		Lunar New Year	
ItemCategory/Seasonal_Valentine	Text		Valentine	
ItemCategory/Technology	Text		Technology	
ItemCategory/Technology_Automation	Text		Automation	
ItemCategory/Technology_Boat	Text		Boat	
ItemCategory/Technology_DefensiveBuilding	Text		Defensive building	
ItemCategory/Technology_Electronics	Text		Electronics	
ItemCategory/Technology_Explosives	Text		Explosives	
ItemCategory/Technology_Railway	Text		Railway	
ItemCategory/Technology_Utility	Text		Utility	
ItemCategory/Technology_Vehicle	Text		Vehicle	
ItemCategory/Valuable	Text		Valuable	
ItemCategory/Valuable_CityBiome	Text		City biome	
ItemCategory/Valuable_ClayBiome	Text		Clay biome	
ItemCategory/Valuable_CrystalBiome	Text		Crystal biome	
ItemCategory/Valuable_DesertBiome	Text		Desert biome	
ItemCategory/Valuable_DirtBiome	Text		Dirt biome	
ItemCategory/Valuable_LavaBiome	Text		Lava biome	
ItemCategory/Valuable_MoldBiome	Text		Mold biome	
ItemCategory/Valuable_NatureBiome	Text		Nature biome	
ItemCategory/Valuable_Other	Text		Other	
ItemCategory/Valuable_SeaBiome	Text		Sea biome	
ItemCategory/Valuable_StoneBiome	Text		Stone biome	
ItemCategory/Valuable_Trophy	Text		Figurine	
ItemLevel	Text		Item level {0}	
Items/AbandonedCampMatress	Text		Camp Matress	
Items/AbandonedCampMatressDesc	Text		The resting place of a former adventurer?	
Items/AbandonedCampTent	Text		Camp Tent	
Items/AbandonedCampTentDesc	Text		An abandoned makeshift tent, who would have lived here?	
Items/AbyssTree	Text		Abyss Tree	
Items/AbyssTreeDesc	Text		A tree that grows in the chasms of Azeos Wilderness. It is unknown how far down it reaches.	
Items/AcidLarva	Text		Acid Larva	
Items/AcidLarvaTrophy	Text		Acid Larva Figurine	
Items/AcidLarvaTrophyDesc	Text		A lifelike representation of an Acid Larva.	
Items/AdderStone	Text		Adder Stone	
Items/AdderStoneDesc	Text		A porous smooth stone, some believe it wards off evil spirits.	
Items/AdvancedJewelryWorkBench	Text		Proficient Jewelry Workbench	
Items/AdvancedJewelryWorkBenchDesc	Text		An advanced workbench for creating rings and necklaces.	
Items/AgarthaReport	Text		Agartha Report	
Items/AgarthaReportDesc	Text		A leatherbound book written in unsteady human language. It appears that the author believed to have found the mythological center of the earth, before succumbing to illness.	
Items/AggressiveSlimeBlob	Text		Red Slime	
Items/AlchemyTable	Text		Alchemist's Table	
Items/AlchemyTableDesc	Text		Workbench to tinker with the wonders of chemistry.	
Items/AlienChest	Text		Alien Tech Chest	
Items/AlienChestDesc	Text		A technological marvel: an inventory chest from outer space! Seems like even advanced civilizations need to stash things away.	
Items/AlienFloorVent	Text		Alien Floor Vent	
Items/AlienFloorVentDesc	Text		A piece of tech that would still be functional, had it not been ripped out of the floor by greedy hands.	
Items/AlienObeliskSmall	Text		Small Alien Obelisk	
Items/AlienObeliskSmallDesc	Text		A descriptive stele, carved into mysterious stone. Its meaning is beyond earthly understanding.	
Items/AlienObeliskTall	Text		Tall Alien Obelisk	
Items/AlienObeliskTallDesc	Text		A large descriptive stele, carved into mysterious stone. Its meaning is beyond earthly understanding.	
Items/AlienStalagmite	Text		High Tech Pillar	
Items/AlienStalagmiteDesc	Text		It looks like a pillar but its actual function is unknown. Is it a cooling mechanism or does it perhaps store energy?	
Items/AlienTechBreastArmor	Text		Cosmos Torso	
Items/AlienTechBreastArmorDesc	Text		This airtight jacket keeps the atmosphere around your body evenly pressured and is equipped with a system to increase damage efficiency.	
Items/AlienTechCrystalLight	Text		Alien Crystal Light	
Items/AlienTechCrystalLightDesc	Text		A highly advanced light using a giant ancient gemstone. It almost appears like an oversized torch made for something with even larger hands.	
Items/AlienTechDestructible	Text		Alien Tech Crate	
Items/AlienTechDestructibleDesc	Text		A breakable box that is not from this world. It contains extraterrestrial goods.	
Items/AlienTechHelm	Text		Cosmos Visor Helm	
Items/AlienTechHelmDesc	Text		A futuristic helm sealed under a big glass dome, leaving the view open to marvel at the miracles of space.	
Items/AlienTechPantsArmor	Text		Cosmos Legwear	
Items/AlienTechPantsArmorDesc	Text		Heavy pants that are less suited for quick movements and more for safely treading on foreign planets.	
Items/AlienTechSpire	Text		Dysfunctional Coil	
Items/AlienTechSpireDesc	Text		A piece of alien technology that seems to have burned out.	
Items/AmberChunk	Text		Amber Chunk	
Items/AmberChunkDesc	Text		Solid remains of an ancient forest. The light it reflects is warm and golden.	
Items/AmberFishEgg	Text		Amber Fish Egg	
Items/AmberFishEggDesc	Text		A perfectly preserved fish egg encapsulated in amber. How those two combined is a mystery.	
Items/AmberLarva	Text		Amber Larva	
Items/AmberLarvaDesc	Text		Grub encapsulated in amber, an extremely rare ingredient.	
Items/Ammonite	Text		Ammonite	
Items/AmmoniteDesc	Text		The petrified shell of an ancient sea creature.	
Items/AmmoniteNecklace	Text		Ammonite Necklace	
Items/AmmoniteNecklaceDesc	Text		Simple but beautiful necklace featuring a fossil.	
Items/AmoebaGiantSegment	Text		Colossal Amoeba	
Items/AmoebaWormSegment	Text		Sulfur Worm	
Items/AnchorAxe	Text		Anchor Axe	
Items/AnchorAxeDesc	Text		This heavy weapon is actually just a ship anchor. Hits very hard and can throw enemies off.	
Items/AncientCoin	Text		Ancient Coin	
Items/AncientCoinDesc	Text		Valuable ancient coin, currency of the underground.	
Items/AncientDestructible	Text		Ancient Crate	
Items/AncientDestructibleDesc	Text		A mysteriously glowing container holding ancient goods.	
Items/AncientFeather	Text		Ancient Feather	
Items/AncientFeatherDesc	Text		An unusual feather left by something big.	
Items/AncientFishingHook	Text		Ancient Fishing Hook	
Items/AncientFishingHookDesc	Text		A very old design for a fishing hook that is not used anymore.	
Items/AncientForge	Text		Ancient Forge	
Items/AncientFountain	Text		Ancient Fountain	
Items/AncientFountainDesc	Text		Only those with secret knowledge know where to find this fountain. It is powered by an ammonite fossil that crystalized through the presence of ancient gemstones.	
Items/AncientGemNecklace	Text		Ancient Gem Necklace	
Items/AncientGemNecklaceDesc	Text		A necklace crafted with only using ancient gemstones as well as a super rare white version.	
Items/AncientGemPlate	Text		Ancient Gem Plate	
Items/AncientGemPlateDesc	Text		This shimmering plate has intricate engravings, it looks like a key to something.	
Items/AncientGemRing	Text		Ancient Gem Ring	
Items/AncientGemRingDesc	Text		This mysterious ring is entirely made out of ancient gemstones, featuring a super rare white one.	
Items/AncientGemstone	Text		Ancient Gemstone	
Items/AncientGemstoneBreastArmor	Text		Gemstone Garment	
Items/AncientGemstoneBreastArmorDesc	Text		This noble robe covers the body in a cascading, silk-like fabric. The woven in ancient gemstone enhance spiritual capabilities.	
Items/AncientGemstoneDesc	Text		Strange, blue gemstone emitting waves of energy.	
Items/AncientGemstonePantsArmor	Text		Gemstone Harem Pants	
Items/AncientGemstonePantsArmorDesc	Text		A set of pants that feels very comfortable to wear. Rooting you in the here and now, you can feel your mental focus increasing.	
Items/AncientGoldenCoin	Text		Ancient Golden Coin	
Items/AncientGoldenCoinDesc	Text		This coin cast in gold seems to be a much older currency than the common ancient coins. It's also worth a whole lot more.	
Items/AncientGolem	Text		Core Sentry	
Items/AncientGuardianNecklace	Text		Ancient Guardian Necklace	
Items/AncientGuardianNecklaceDesc	Text		A truly powerful relic of the past, made for fending off the strongest of foes.	
Items/AncientGuardianRing	Text		Ancient Guardian Ring	
Items/AncientGuardianRingDesc	Text		A relic that is made in the same way as the Ancient Guardian Necklace, made for fending off the strongest of foes.	
Items/AncientHologramPod	Text		Ancient Hologram Pod	
Items/AncientHologramPodDesc	Text		A strange device that materializes spirits of the past.	
Items/AncientMakeupSet	Text		Ancient Makeup Set	
Items/AncientMakeupSetDesc	Text		A small wooden box containing all kinds of brushes, pastes and powders that have been used for makeup.	
Items/AncientMiningPick	Text		Ancient Pickaxe	
Items/AncientMiningPickDesc	Text		Great architects of the lost civilization must have used this to take down almost any wall in their way.	
Items/AncientSpear	Text		Prehistoric Crystal Spear	
Items/AncientSpearDesc	Text		One of the first weapons ever made by mankind, but this one has an ancient gemstone in place of a normal spearhead.	
Items/AncientWire	Text		Ancient Wire	
Items/AngleFish	Text		Beryll Angle Fish	
Items/AngleFishDesc	Text		This moon-blue fish seemed to have had a normal body once, but the water of the Shimmering Frontier corrupted it to be crystalline through and through.	
Items/AnniversaryCake	Text		Anniversary Cake	
Items/AnniversaryCakeDesc	Text		Drenched in blue glaze and stuck with candles, this glow tulip chocolate cake marks a special anniversary.	
Items/AnniversaryPartyHatBlue	Text		Blue Party Hat	
Items/AnniversaryPartyHatBlueDesc	Text		This blazing blue party hat can be worn to celebrate a special anniversary.	
Items/AnniversaryPartyHatGreen	Text		Green Party Hat	
Items/AnniversaryPartyHatGreenDesc	Text		This groovy green party hat can be worn to celebrate a special anniversary.	
Items/AnniversaryPartyHatPurple	Text		Purple Party Hat	
Items/AnniversaryPartyHatPurpleDesc	Text		This perky purple party hat can be worn to celebrate a special anniversary.	
Items/AnniversaryPartyHatRed	Text		Red Party Hat	
Items/AnniversaryPartyHatRedDesc	Text		This radical red party hat can be worn to celebrate a special anniversary.	
Items/AntiqueBoardGame	Text		Antique Board Game	
Items/AntiqueBoardGameDesc	Text		An ancient game for two players, there is no rulebook but apparently it was about shifting blocks around.	
Items/ApprenticeBreastArmor	Text		Apprentice Robe	
Items/ApprenticeBreastArmorDesc	Text		A plain robe worn by mages in training.	
